,num_complaints,num_food_est,num_food_poi,num_smoking
10001,918,622.0,254.0,31.0
10002,865,609.0,182.0,66.0
10003,1357,893.0,384.0,59.0
10004,180,131.0,42.0,2.0
10005,85,62.0,19.0,0.0
10006,79,59.0,19.0,1.0
10007,281,167.0,90.0,19.0
10009,555,362.0,136.0,46.0
10010,497,344.0,137.0,11.0
10011,999,608.0,332.0,43.0
10012,716,484.0,179.0,41.0
10013,983,659.0,244.0,71.0
10014,712,464.0,168.0,66.0
10016,970,657.0,284.0,22.0
10017,681,450.0,202.0,23.0
10018,656,481.0,163.0,5.0
10019,1197,791.0,360.0,23.0
10020,49,28.0,19.0,2.0
10021,382,254.0,107.0,16.0
10022,833,552.0,231.0,39.0
10023,593,409.0,164.0,11.0
10024,640,452.0,170.0,8.0
10025,623,444.0,158.0,11.0
10026,273,204.0,59.0,5.0
10027,515,378.0,127.0,4.0
10028,528,377.0,130.0,16.0
10029,624,485.0,125.0,7.0
10030,112,72.0,36.0,3.0
10031,300,232.0,64.0,1.0
10032,269,194.0,67.0,3.0
10033,272,175.0,92.0,4.0
10034,288,203.0,53.0,29.0
10035,304,217.0,77.0,2.0
10036,1004,650.0,302.0,38.0
10037,119,81.0,37.0,1.0
10038,417,321.0,83.0,5.0
10039,117,92.0,21.0,3.0
10040,174,128.0,34.0,11.0
10044,24,17.0,6.0,1.0
10065,313,212.0,92.0,6.0
10069,14,14.0,0.0,0.0
10075,248,190.0,55.0,3.0
10103,3,2.0,1.0,0.0
10111,3,0.0,3.0,0.0
10112,16,10.0,6.0,0.0
10119,6,5.0,0.0,1.0
10123,1,1.0,0.0,0.0
10128,380,291.0,71.0,11.0
10280,40,31.0,8.0,0.0
10281,18,13.0,4.0,1.0
10282,26,15.0,11.0,0.0
10301,231,163.0,62.0,4.0
10302,204,137.0,65.0,0.0
10303,110,72.0,34.0,3.0
10304,149,94.0,49.0,5.0
10305,236,174.0,55.0,7.0
10306,252,176.0,68.0,5.0
10307,88,74.0,13.0,1.0
10308,97,72.0,23.0,2.0
10309,121,85.0,30.0,3.0
10310,161,125.0,35.0,1.0
10312,153,121.0,29.0,1.0
10314,469,317.0,130.0,14.0
10412,1,1.0,0.0,0.0
10451,307,215.0,87.0,3.0
10452,244,171.0,69.0,2.0
10453,223,151.0,68.0,2.0
10454,139,99.0,40.0,0.0
10455,233,173.0,58.0,0.0
10456,221,161.0,58.0,1.0
10457,187,134.0,52.0,1.0
10458,450,319.0,85.0,40.0
10459,203,156.0,46.0,0.0
10460,145,96.0,49.0,0.0
10461,360,259.0,73.0,28.0
10462,503,377.0,110.0,13.0
10463,329,217.0,99.0,8.0
10464,117,80.0,29.0,7.0
10465,134,84.0,37.0,12.0
10466,169,130.0,34.0,4.0
10467,461,289.0,144.0,26.0
10468,265,174.0,81.0,10.0
10469,288,176.0,66.0,46.0
10470,52,29.0,7.0,16.0
10471,92,61.0,29.0,2.0
10472,203,145.0,54.0,4.0
10473,154,118.0,36.0,0.0
10474,45,36.0,8.0,1.0
10475,194,134.0,60.0,0.0
11001,1,0.0,0.0,1.0
11003,1,0.0,0.0,1.0
11004,101,82.0,19.0,0.0
11005,12,11.0,1.0,0.0
11021,1,0.0,1.0,0.0
11027,1,0.0,1.0,0.0
11040,32,20.0,11.0,1.0
11101,510,361.0,98.0,47.0
11102,207,132.0,44.0,28.0
11103,451,277.0,92.0,79.0
11104,181,110.0,60.0,9.0
11105,265,180.0,48.0,36.0
11106,588,210.0,80.0,293.0
11109,3,3.0,0.0,0.0
11201,887,627.0,228.0,21.0
11203,256,188.0,62.0,4.0
11204,297,220.0,57.0,18.0
11205,297,211.0,76.0,8.0
11206,294,209.0,75.0,7.0
11207,474,358.0,108.0,5.0
11208,277,189.0,83.0,3.0
11209,575,413.0,122.0,37.0
11210,155,122.0,33.0,0.0
11211,585,418.0,124.0,37.0
11212,340,245.0,92.0,2.0
11213,405,305.0,81.0,10.0
11214,480,310.0,132.0,37.0
11215,573,399.0,155.0,17.0
11216,481,376.0,94.0,9.0
11217,515,334.0,153.0,24.0
11218,391,276.0,81.0,29.0
11219,258,168.0,75.0,13.0
11220,601,359.0,163.0,76.0
11221,289,225.0,61.0,3.0
11222,376,273.0,78.0,19.0
11223,390,265.0,89.0,32.0
11224,274,178.0,92.0,3.0
11225,194,146.0,45.0,2.0
11226,480,335.0,138.0,4.0
11228,121,91.0,28.0,2.0
11229,370,261.0,83.0,23.0
11230,323,229.0,82.0,10.0
11231,285,221.0,42.0,17.0
11232,125,105.0,17.0,1.0
11233,247,175.0,67.0,2.0
11234,384,293.0,81.0,9.0
11235,688,472.0,164.0,47.0
11236,266,209.0,56.0,0.0
11237,234,174.0,54.0,5.0
11238,385,264.0,93.0,25.0
11239,76,45.0,31.0,0.0
11241,1,0.0,0.0,0.0
11242,2,2.0,0.0,0.0
11249,146,100.0,35.0,10.0
11354,688,452.0,157.0,67.0
11355,489,331.0,96.0,57.0
11356,164,116.0,30.0,7.0
11357,103,76.0,22.0,5.0
11358,207,115.0,37.0,51.0
11360,79,66.0,12.0,0.0
11361,204,132.0,49.0,21.0
11362,85,63.0,20.0,2.0
11363,35,19.0,13.0,2.0
11364,116,73.0,42.0,1.0
11365,116,79.0,35.0,2.0
11366,111,79.0,31.0,1.0
11367,160,108.0,52.0,0.0
11368,292,221.0,58.0,5.0
11369,114,80.0,34.0,0.0
11370,38,30.0,8.0,0.0
11371,3,2.0,0.0,0.0
11372,622,408.0,190.0,15.0
11373,406,285.0,101.0,16.0
11374,253,174.0,72.0,4.0
11375,516,362.0,137.0,13.0
11377,368,252.0,94.0,19.0
11378,208,145.0,43.0,17.0
11379,108,80.0,23.0,5.0
11385,461,339.0,79.0,38.0
11411,47,36.0,9.0,1.0
11412,91,65.0,24.0,0.0
11413,90,70.0,20.0,0.0
11414,262,189.0,58.0,14.0
11415,108,59.0,42.0,7.0
11416,127,86.0,35.0,6.0
11417,163,117.0,42.0,4.0
11418,202,145.0,50.0,6.0
11419,308,219.0,79.0,7.0
11420,151,115.0,31.0,3.0
11421,113,84.0,28.0,1.0
11422,79,59.0,19.0,0.0
11423,54,37.0,17.0,0.0
11426,63,46.0,16.0,0.0
11427,54,35.0,18.0,0.0
11428,51,35.0,14.0,2.0
11429,43,25.0,17.0,1.0
11430,47,28.0,17.0,0.0
11432,473,346.0,121.0,2.0
11433,93,68.0,23.0,1.0
11434,236,173.0,63.0,0.0
11435,255,169.0,78.0,6.0
11436,53,42.0,11.0,0.0
11559,3,2.0,1.0,0.0
11581,2,1.0,1.0,0.0
11691,162,130.0,31.0,1.0
11692,21,11.0,10.0,0.0
11693,65,47.0,13.0,4.0
11694,106,74.0,29.0,2.0
11697,5,2.0,2.0,0.0
